Date,Category,Quantity,Rate,Tax,Discount,Total,Cost,Profits
2010-04-01,BEER,27,1320,906.25,0,3806.25,440.0,879.9999999999999
2010-04-01,BEVERAGE,40,3155,749.4300000000001,0,3904.430000000002,2103.333333333333,1051.6666666666665
2010-04-01,COFFEE,55,3455,906.0799999999997,0,4721.080000000001,2032.3529411764698,1422.6470588235302
2010-04-01,DESSERT,20,2115,517.8,0,2697.8000000000006,1510.714285714286,604.2857142857141
2010-04-01,FOOD,48,6370,1594.8600000000006,0,8309.859999999999,4899.999999999996,1470.0
2010-04-01,PANINI,34,3260,883.5500000000004,0,4603.549999999999,2200.0,1060.0
2010-04-01,SHAKES,58,7050,1840.64,0,9590.639999999998,4700.000000000002,2350.000000000001
2010-04-01,TEA,29,1905,568.6800000000001,0,2858.6800000000003,1058.333333333333,846.6666666666669
2010-04-01,TOBACCO,83,23440,7651.199999999998,0,31561.20000000001,4688.0,18752.0
2010-04-01,WINES,1,175,45.5,0,220.5,58.333333333333336,116.66666666666666
2010-04-02,BEER,43,3040,1800.0,0,7560.0,1013.3333333333334,2026.6666666666667
2010-04-02,BEVERAGE,76,5330,1465.5100000000011,0,7635.509999999999,3553.333333333334,1776.666666666667
2010-04-02,COFFEE,57,2980,881.14,0,4591.139999999999,1752.9411764705878,1227.0588235294124
2010-04-02,DESSERT,20,2250,647.23,0,3372.2300000000005,1607.142857142857,642.8571428571425
2010-04-02,FOOD,52,7305,1809.8100000000009,0,9429.809999999996,5603.8461538461515,1701.1538461538462
2010-04-02,PANINI,34,3335,866.9200000000004,0,4516.92,2263.3333333333335,1071.6666666666667
2010-04-02,SHAKES,67,8570,2212.390000000001,0,11527.389999999996,5713.333333333333,2856.6666666666665
2010-04-02,TEA,25,1095,402.60999999999996,0,2097.6100000000006,608.3333333333334,486.66666666666663
2010-04-02,TOBACCO,80,22445,7366.399999999998,0,30386.400000000012,4489.0,17956.0
2010-04-02,WINES,3,2450,637.0,0,3087.0,800.0,1649.9999999999998
2010-04-03,BEER,70,4785,2607.81,0,10952.81,1595.0000000000002,3190.0000000000005
2010-04-03,BEVERAGE,120,8010,2453.5400000000022,0,12783.539999999992,5340.000000000001,2670.0000000000005
2010-04-03,COFFEE,39,2145,717.2599999999999,0,3737.26,1261.764705882353,883.2352941176472
2010-04-03,DESSERT,24,2545,604.48,0,3149.4800000000005,1817.8571428571427,727.1428571428568
2010-04-03,FOOD,110,13065,3655.8000000000034,48,19095.8,10011.53846153846,3053.46153846154
2010-04-03,PANINI,65,6775,1697.2200000000005,69,8912.220000000001,4609.999999999999,2165.0
2010-04-03,SHAKES,104,10565,3231.2600000000007,0,16836.259999999984,7043.333333333331,3521.6666666666656
2010-04-03,TEA,38,2530,814.3100000000003,0,4034.3100000000004,1405.5555555555552,1124.4444444444448
2010-04-03,TOBACCO,118,32626,10797.199999999995,0,44593.20000000002,6525.200000000001,26100.800000000003
2010-04-03,WINES,8,5150,1339.0,0,6489.0,1683.3333333333335,3466.666666666667
2010-04-04,BEER,21,2055,818.75,0,3438.75,685.0,1370.0
2010-04-04,BEVERAGE,78,5945,1755.2000000000007,0,9145.2,3963.333333333336,1981.666666666668
2010-04-04,COFFEE,50,2640,798.02,0,4158.0199999999995,1552.9411764705878,1087.0588235294124
2010-04-04,DESSERT,19,2140,554.6,0,2889.6000000000004,1528.5714285714284,611.4285714285712
2010-04-04,FOOD,53,7840,1896.4900000000007,0,9881.489999999996,6030.769230769229,1809.230769230769
2010-04-04,PANINI,29,2990,737.4900000000002,0,3842.490000000001,2033.3333333333335,956.6666666666667
2010-04-04,SHAKES,61,7940,2033.0600000000009,0,10593.059999999998,5293.333333333332,2646.666666666666
2010-04-04,TEA,22,1930,538.8,0,2598.8000000000006,1072.2222222222222,857.7777777777779
2010-04-04,TOBACCO,90,23871,8181.199999999997,0,33802.20000000001,4774.200000000001,19096.800000000003
2010-04-04,WINES,5,375,253.5,0,1228.5,125.0,249.99999999999997
2010-04-05,BEER,27,2260,1074.99,0,4514.99,753.3333333333334,1506.6666666666667
2010-04-05,BEVERAGE,60,4315,1195.9000000000008,0,6230.9,2876.666666666667,1438.3333333333337
2010-04-05,COFFEE,35,2095,611.5699999999999,0,3186.57,1232.3529411764703,862.6470588235298
2010-04-05,DESSERT,11,1245,319.45,0,1664.45,889.2857142857144,355.71428571428567
2010-04-05,FOOD,43,7535,1884.1600000000003,48,9704.16,5776.923076923074,1758.0769230769229
2010-04-05,PANINI,22,2420,574.7600000000001,0,2994.76,1640.0000000000002,780.0
2010-04-05,SHAKES,50,5685,1512.9000000000003,0,7882.900000000003,3790.0000000000005,1895.0000000000002
2010-04-05,TEA,20,1120,318.3,0,1658.3000000000002,622.2222222222222,497.7777777777777
2010-04-05,TOBACCO,90,24350,7990.399999999995,0,32960.40000000002,4870.0,19480.0
2010-04-05,WINES,1,700,182.0,0,882.0,233.33333333333334,466.66666666666663
2010-04-06,BEER,14,1785,745.31,0,3130.31,594.9999999999999,1190.0
2010-04-06,BEVERAGE,49,3530,942.9400000000003,0,4912.94,2353.333333333333,1176.6666666666665
2010-04-06,COFFEE,31,1815,491.64,0,2561.64,1067.6470588235293,747.3529411764707
2010-04-06,DESSERT,26,3135,813.4599999999999,0,4238.46,2239.2857142857147,895.7142857142857
2010-04-06,FOOD,51,6550,1684.6700000000005,0,8699.67,5038.461538461535,1511.538461538462
2010-04-06,PANINI,15,1635,388.32,0,2023.3200000000004,1143.3333333333335,491.66666666666663
2010-04-06,SHAKES,41,4245,1252.8700000000001,0,6527.870000000001,2830.0000000000005,1415.0000000000002
2010-04-06,TEA,27,1445,386.0,0,2011.000000000001,802.7777777777777,642.2222222222223
