Category,Quantity,Rate,Tax,Discount,Total,Cost,Profit
TOBACCO,37563,10790.558,3537.1079399994805,0.797,14600.25954000214,2066.1550000000057,8724.403000000026
SHAKES,17623,2154.03,570.8646600000282,1.05,2975.519659999991,1421.8400000000076,732.1900000000014
BEER,10157,1028.667,494.36890999999997,1.771,2078.1199100000067,346.9939999999992,681.6729999999985
FOOD,18794,2579.663,653.2877500000053,2.962,3402.3107999995786,1948.5753846153737,631.0876153845697
BEVERAGE,18952,1729.313,453.618270000024,1.438,2362.909269999621,1143.2053333332844,586.1076666666361
COFFEE,19032,1125.68,320.90059000001406,0.35,1672.3455899998603,649.2647058823526,476.4152941176936
PANINI,10012,1003.855,258.4772000000079,2.178,1348.9421999998751,681.823333333321,322.0316666666627
DESSERT,7462,768.979,196.27400000000702,0.69,1020.6229999999942,548.7814285714247,220.19757142856582
TEA,7440,441.355,126.73231000000663,0.256,649.1773099999688,243.99722222221934,197.35777777778154
WINES,1155,241.267,77.66002,0.325,376.25311999999997,80.0983333333331,161.16866666666618
