,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'ADD FRIES                     '}),frozenset({'B.M.T. PANINI                 '}),0.01074562,0.037223858,0.002157698,0.200797872,5.394332707,0.001757704,1.204671646
1,frozenset({'B.M.T. PANINI                 '}),frozenset({'ADD FRIES                     '}),0.037223858,0.01074562,0.002157698,0.057965451,5.394332707,0.001757704,1.05012537
67,frozenset({'SAMBUCA                       '}),frozenset({'RED BULL 2+1                  '}),0.063201966,0.016675717,0.004143923,0.065566358,3.931846481,0.003089985,1.052321148
66,frozenset({'RED BULL 2+1                  '}),frozenset({'SAMBUCA                       '}),0.016675717,0.063201966,0.004143923,0.248500428,3.931846481,0.003089985,1.246571614
44,frozenset({'MAGGI NDL ARRABIATA           '}),frozenset({'SAMBUCA                       '}),0.012588951,0.063201966,0.002500643,0.198637911,3.142907149,0.001704997,1.169007178
45,frozenset({'SAMBUCA                       '}),frozenset({'MAGGI NDL ARRABIATA           '}),0.063201966,0.012588951,0.002500643,0.039565905,3.142907149,0.001704997,1.028088293
31,frozenset({'CALCUTTA MINT                 '}),frozenset({'RED BULL 2+1                  '}),0.047255008,0.016675717,0.002372039,0.050196553,3.01015866,0.001584027,1.035292393
30,frozenset({'RED BULL 2+1                  '}),frozenset({'CALCUTTA MINT                 '}),0.016675717,0.047255008,0.002372039,0.142245073,3.01015866,0.001584027,1.110742662
16,frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),frozenset({'B.M.T. PANINI                 '}),0.026578263,0.037223858,0.002614958,0.098387097,2.643119311,0.001625613,1.067837582
17,frozenset({'B.M.T. PANINI                 '}),frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),0.037223858,0.026578263,0.002614958,0.07024952,2.643119311,0.001625613,1.046970943
68,frozenset({'RED BULL ENERGY DRINK         '}),frozenset({'SAMBUCA                       '}),0.026578263,0.063201966,0.004043897,0.152150538,2.40737032,0.002364099,1.104910807
69,frozenset({'SAMBUCA                       '}),frozenset({'RED BULL ENERGY DRINK         '}),0.063201966,0.026578263,0.004043897,0.063983721,2.40737032,0.002364099,1.039962402
52,frozenset({'N R G  HOOKAH                 '}),frozenset({'RED BULL ENERGY DRINK         '}),0.031936784,0.026578263,0.002014804,0.063087248,2.373640759,0.00116598,1.038967327
53,frozenset({'RED BULL ENERGY DRINK         '}),frozenset({'N R G  HOOKAH                 '}),0.026578263,0.031936784,0.002014804,0.075806452,2.373640759,0.00116598,1.047468052
11,frozenset({'B.M.T. PANINI                 '}),frozenset({'KIT KAT SHAKE                 '}),0.037223858,0.023991884,0.00211483,0.05681382,2.368043313,0.001221759,1.034799
10,frozenset({'KIT KAT SHAKE                 '}),frozenset({'B.M.T. PANINI                 '}),0.023991884,0.037223858,0.00211483,0.088147707,2.368043313,0.001221759,1.055846599
6,frozenset({'COTTAGE CHEESE PANINI         '}),frozenset({'B.M.T. PANINI                 '}),0.023034495,0.037223858,0.002014804,0.087468983,2.349809728,0.001157371,1.055061279
7,frozenset({'B.M.T. PANINI                 '}),frozenset({'COTTAGE CHEESE PANINI         '}),0.037223858,0.023034495,0.002014804,0.054126679,2.349809728,0.001157371,1.032871405
32,frozenset({'RED BULL ENERGY DRINK         '}),frozenset({'CALCUTTA MINT                 '}),0.026578263,0.047255008,0.002843588,0.106989247,2.264082705,0.001587632,1.066890839
33,frozenset({'CALCUTTA MINT                 '}),frozenset({'RED BULL ENERGY DRINK         '}),0.047255008,0.026578263,0.002843588,0.060175386,2.264082705,0.001587632,1.03574829
63,frozenset({'POUTINE WITH FRIES            '}),frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),0.048783973,0.026578263,0.002886457,0.059168131,2.226185032,0.001589863,1.034639418
62,frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),frozenset({'POUTINE WITH FRIES            '}),0.026578263,0.048783973,0.002886457,0.108602151,2.226185032,0.001589863,1.067106038
36,frozenset({'COTTAGE CHEESE PANINI         '}),frozenset({'POUTINE WITH FRIES            '}),0.023034495,0.048783973,0.002357749,0.10235732,2.098175154,0.001234035,1.059682264
37,frozenset({'POUTINE WITH FRIES            '}),frozenset({'COTTAGE CHEESE PANINI         '}),0.048783973,0.023034495,0.002357749,0.048330404,2.098175154,0.001234035,1.026580559
